-0.30103;-1.61802;-1.61802
-0.309804;-1.91108;-1.91108
-0.318759;-1.63394;-1.63394
-0.327902;-1.52705;-1.52705
-0.337242;-1.55352;-1.55352
-0.346787;-1.3371;-1.3371
-0.356547;-1.39624;-1.39624
-0.366532;-1.54406;-1.54406
-0.376751;-1.26167;-1.26168
-0.387216;-1.87033;-1.87033
-0.39794;-1.8881;-1.8881
-0.408935;-1.71465;-1.71465
-0.420216;-1.78664;-1.78665
-0.431798;-1.39052;-1.39051
-0.443697;-1.51255;-1.51254
-0.455932;-1.36477;-1.36477
-0.468521;-1.71232;-1.71231
-0.481486;-1.94647;-1.94647
-0.49485;-1.80583;-1.80584
-0.508638;-1.61219;-1.61219
-0.522879;-1.45821;-1.45822
-0.537602;-1.88377;-1.88376
-0.552842;-2.04651;-2.04652
-0.568636;-1.70363;-1.70364
-0.585027;-1.82814;-1.82812
-0.60206;-1.91484;-1.91484
-0.619789;-1.87233;-1.87236
-0.638272;-1.7958;-1.79579
-0.657577;-2.272;-2.27201
-0.677781;-1.69724;-1.69725
-0.69897;-2.74384;-2.74373
-0.721246;-1.78448;-1.78446
-0.744727;-2.06715;-2.06714
-0.769551;-1.96474;-1.96472
-0.79588;-1.81582;-1.81585
-0.823909;-1.97004;-1.97006
-0.853872;-2.03639;-2.03641
-0.886057;-2.06332;-2.06344
-0.920819;-2.13736;-2.13719
-0.958607;-2.23293;-2.23291
-1;-2.40257;-2.40244
-1.04576;-2.40803;-2.4083
-1.09691;-2.40993;-2.4097
